page,Tên khác,Địa chỉ,Tọa độ,Lễ hội,Phân loại,Ngày công nhận,Quyết định,Thành lập,Quốc gia,Tôn giáo,Tông phái,Khởi lập,Quản lý,Trụ trì,Trang web,Tôn kính,Người sáng lập,Tên cũ,Dạng,Phong cách,Địa điểm,Thành phố,Khởi công,Hoàn thành,Khánh thành,Trùng tu,Diện tích sàn,Kích thước,Đường kính,Kiến trúc sư,Chủ đầu tư,Hệ thống kết cấu,Kỹ sư,Tỉnh,Kiểu dáng kiến trúc,Tên chính thức,Tiêu chuẩn,Tham khảo,Công nhận,Diện tích,Vùng đệm,"Vị trí Tháp Đồng Dương trên bản đồ Việt Nam


Tháp Đồng Dương",Xây dựng,Vị trí,Tình trạng,Thờ,Phân cấp,Website,Thầy,Công tích,Một phần của,Khám phá,Thánh tích,Được thờ vì,Tuyến đường,Bắc qua,Tên tự,Di tích,Mở rộng,"Mã IATA-

Mã ICAO-",Mã IATA-,Kiểu sân bay,Độ cao,"Hướng

Chiều dài

Bề mặt


m

ft


02

2001

6565

Asphalt",Hướng,m,02,Thờ phụng,Tôn tạo,Quá trình xây dựng,Hồ sơ tham khảo,Vùng,Thị xã,Tổng cộng,Mật độ,Mã hành chính,Khu vực,Kiểu hồ,Nguồn cấp nước chính,Nguồn thoát đi chính,Lưu vực,Quốc gia lưu vực,Độ dài tối đa,Độ rộng tối đa,Chu vi,Diện tích bề mặt,Độ sâu trung bình,Các đảo,Khu dân cư,Bao gồm,Vùng được công nhận,Chưởng quản,Chi phí xây dựng,Chi phí trùng tu,Chiều cao,Kích thước khác,Ban quản lý,Sử dụng,Sở hữu,Phá dỡ,Phá hủy,Nhà thầu chính,Toạ độ,Thành phố gần nhất,Diện tích ban đầu,Diện tích hiện nay,Diện tích mở rộng,Diện tích sau mở rộng,Người thành lập,Xây dựng bởi,Vật liệu,Xây dựng cho,Mục đích ban đầu,Tổng mức đầu tư,Giai đoạn trùng tu,Mục đích hiện tại,Phong cách kiến trúc,Thời gian tham quan,Lượng tham quan,Cơ quan quản lý,Loại,Ngày nhận danh hiệu,Tên chính xác,Vị thần chính,Người xây dựng,Xây mới,Lễ hội chính,Chữ Hán,Tên khác,Tọa độ,Vị trí,Xây dựng,Đời vua,Tình trạng,Chức năng,Kiểm soát bởi,Xây dựng bởi,Trận đánh/chiến tranh,Sự kiện,Chỉ huy hiện tại,Đơn vị đồn trú,Chủ sở hữu,Số cửa vào,"Vị trí Tháp Hòa Lai trên bản đồ Việt Nam


Tháp Hòa Lai",Sự kiện,Núi,Phối thờ,Đời vua,Sử dụng bởi,Người thiết kế,Năm thiết kế,Giai đoạn sản xuất,Số lượng chế tạo,Khối lượng,Chiều dài,Chiều rộng,Bệ pháo,Xoay ngang,Ngày xây dựng,Chức năng,Phá hủy,Dài,Cao,Kiểu,Vùng UNESCO,Rộng,Tác giả,Ngôn ngữ,Thể loại,Kiểu sách,Một phần của,Nguyên liệu,Thành lập,Tượng Chúa Kitô Vua,Chủ quản,Thiết kế,Chịu trách nhiệm giai đoạn 1,Chịu trách nhiệm giai đoạn 2,Điện thoại,Loại đền,"Vị trí Tháp Po Klong Garai trên bản đồ Việt Nam


Tháp Po Klong Garai",Được xây dựng,Sửa chữa lại,Bộ sưu tập,Giám đốc,Ngân quỹ,Loại bệnh viện,Giường,Mở cửa,Tên chùa:,Địa chỉ:,Người cúng đất:,Người xây dựng:,Năm xây dựng:,Năm trùng tu:,Trụ trì tiền nhiệm:,Trụ trì đương nhiệm:,Pháp môn:,Chủ trương:,Trường phái,Kỹ sư xây dựng,Tọa độ địa lý,Người sáng tạo,Bề mặt khu vực,Nghi thức,Hướng mặt tiền,Dạng chỗ ngồi,Số chỗ ngồi,Nhà thiết kế khác,Mã trường,Hiệu trưởng,Phó hiệu trưởng,Khẩu hiệu,Nhân viên,Giáo viên,Cấp,Bài hát,Số học sinh,Khuôn viên,Diện tích mặt nước,Diện tích khuôn viên,Phụ trách,Chỉ huy đã qua,Diện tích quy hoạch và tôn tạo,Diện tích bảo vệ,Ngày,Bắt đầu,Kết thúc,Tần suất,Năm sự kiện,Sự kiện quan trọng,Cấp sân ga,Đã mở,Đã đóng,Thượng nguồn,Cửa sông,Độ dài,Kiểu cầu,Số nhịp,Đã thông xe,Năm thánh hiến,Nhà đầu tư,Giáo phái,Giáo hội hoặc trạng thái tổ chức,Lãnh đạo,Số tầng,Tên thường gọi,Tên theo mật danh chiến trường,Tên theo địa danh,"Vị trí Tháp Liễu Cốc trên bản đồ Việt Nam


Tháp Liễu Cốc",Tình trạng di sản,Đóng cửa,Tiêu chí,Nam,Bắt đầu xây dựng,Nổi tiếng vì,"Vị trí Tháp Dương Long trên bản đồ Việt Nam


Tháp Dương Long",Cao độ bề mặt,"Vị trí Tháp Nhạn trên bản đồ Việt Nam


Tháp Nhạn",Tổng số đảo,Đảo chính,Địa phương,Dân số,Độ sâu,Độ dài,Địa chất,Danh sách cửa vào,Nguy hiểm,Khảo sát hang động,Huyện,Trụ sở UBND,Khe Sanh Vị trí thị trấn Khe Sanh trên bản đồ Việt Nam,"Vị trí Tháp Bánh Ít trên bản đồ Việt Nam


Tháp Bánh Ít","Vị trí Tháp Phú Lốc trên bản đồ Việt Nam


Tháp Phú Lốc",Tuyến,E-mail
Cụm nhà cổ Thanh Phú Long,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di tích khảo cổ Rạch Núi,,,"10°32′59″B 106°40′13″Đ﻿ / ﻿10,54972°B 106,67028°Đ﻿ / 10.54972; 106.67028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Di tích Vàm Nhựt Tảo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đồn Rạch Cát,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khu lưu niệm Nguyễn Thái Bình,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khu vực Cầu Tre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khu vực Gò Sáu Ngọc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miếu Bà Ngũ Hành (Cần Giuộc),,"xã Long Thượng, huyện Cần Giuộc, tỉnh Long An, Việt Nam",,19 - 21 tháng giêng âm lịch,Di tích kiến trúc nghệ thuật,"22 tháng 2, 1997",400/QĐ.UB[1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngã ba mũi tàu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngã tư Đức Hòa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nhà trăm cột,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rạch Bà Kiểu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Tiên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hang Chùa (Yên Thủy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Bồ Đề (Bình Định),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Hang (Bình Định),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Linh Phong (Bình Định),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Tam Thanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Thành,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Ông (Thu Xà),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Hang (Quảng Ngãi),,,"15°23′25″B 109°07′16″Đ﻿ / ﻿15,39028°B 109,12111°Đ﻿ / 15.39028; 109.12111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lâu đời,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Thiên Ấn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Hội Linh (Cần Thơ),,"số 314/36 đường Cách mạng Tháng Tám, phường Bùi Hữu Nghĩa, quận Bình Thủy, thành phố Cần Thơ.",,,Di tích lịch sử văn hoá,21 tháng 6 năm 1993 (1993-06-21),774/1993/QĐ-BT,,Việt Nam,Phật giáo,Lâm Tế tông,1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Long Quang (Cần Thơ),,"Số 155/6, khu vực Bình Chánh, phường Long Hòa, quận Bình Thủy, thành phố Cần Thơ",,,Di tích kiến trúc nghệ thuật,21 tháng 6 năm 1993 (1993-06-21),Số 774/1993/QĐ-BT,,Việt Nam,Phật giáo,Phật giáo Bắc tông,1824,,,,,Thiền sư Thiện Quyền,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Long Quang Cổ Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Nam Nhã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Đình Bình Thủy,Long Tuyền Cổ miếu,"Bình Thủy, Bình Thủy, Cần Thơ, Việt Nam","10°04′20″B 105°45′09″Đ﻿ / ﻿10,0722529°B 105,7525214°Đ﻿ / 10.0722529; 105.7525214","12 - 14/04 âm lịch14, 15 tháng chạp âm lịch",,,,1844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khám Lớn Cần Thơ,Năm 1886: Prison Provinciale  Năm 1954: Trung tâm Cải huấn,,"10°02′10,4″B 105°47′18,5″Đ﻿ / ﻿10,03333°B 105,78333°Đ﻿ / 10.03333; 105.78333",,,,Số 1460/QĐ-VH,Năm 1886,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876 – 1886[3],"Số 8, đường Ngô Gia Tự, Tân An, Ninh Kiều, Cần Thơ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,6 – 5m",,,,,,,,,Thành phố Cần Thơ,3.762 m²,2.046 m²,1.090 m²[1],"3.576,8 m²[2]",Thực dân Pháp,Thực dân Pháp,"Xi măng, gạch, ngói, mảnh ve chai, kẽm gai, xà lim, vọng gác",Thực dân Pháp,Trại giam,"Hơn 28,2 tỷ đồng[2]",2022 – 2024[2],"Du lịch, tham quan, tìm hiểu",Kiến trúc độc đáo được xây dựng biệt lập,Tính đến ngày 17/02/2019[4],2.200 lượt khách[4],Bảo tàng Thành phố Cần Thơ[5],Di tích văn hóa – lịch sử,28 tháng 6 năm 1996 (1996-06-28),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Khu di tích lịch sử Giàn Gừa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Địa điểm chiến thắng đồi 722,,,,,,,,,Việt Nam,,,,,,,,,,,,,,,,,,,,,,,,,Đắk Nông,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bia Lê Lợi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Động Tiên Sơn (Lai Châu),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Bà Đanh,,"thôn Đanh, Ngọc Sơn, Kim Bảng, Hà Nam",,,,,,,Việt Nam,Phật giáo,Phật giáo đại thừaTín ngưỡng dân gianTín ngưỡng thờ Tứ pháp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chùa Đồng Vũ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miễu Bà Chúa Xứ Bàu Mướp,,"phường Nhà Bàng, thuộc thị xã Tịnh Biên, tỉnh An Giang, Việt Nam",,,"Di tích lịch sử – văn hóa, danh lam thắng cảnh",16 tháng 10 năm 2012,1814/QĐ-UBND,Giữa thế kỷ 19,,,,,,,,,Đoàn Minh Huyên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thánh Mẫu Tiên Nương,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
