,cats,parent
364,Thể loại:Hồ tại Tuyên Quang,Thể loại:Hồ tại Việt Nam theo tỉnh thành
365,Thể loại:Hồ tại Vĩnh Phúc,Thể loại:Hồ tại Việt Nam theo tỉnh thành
366,Thể loại:Hồ tại Yên Bái,Thể loại:Hồ tại Việt Nam theo tỉnh thành
367,Thể loại:Danh lam thắng cảnh tại Huế,Thể loại:Điểm tham quan ở Việt Nam
368,Thể loại:Sông Hương,Thể loại:Danh lam thắng cảnh tại Huế
369,Thể loại:Cầu qua sông Hương,Thể loại:Sông Hương
371,Thể loại:Khu bảo tồn Việt Nam,Thể loại:Điểm tham quan ở Việt Nam
378,Thể loại:Khu bảo tồn thiên nhiên Việt Nam,Thể loại:Khu bảo tồn Việt Nam
379,Thể loại:Khu Ramsar Việt Nam,Thể loại:Khu bảo tồn Việt Nam
380,Thể loại:Khu dự trữ sinh quyển Việt Nam,Thể loại:Khu bảo tồn Việt Nam
382,Thể loại:Quảng trường Việt Nam,Thể loại:Điểm tham quan ở Việt Nam
383,Thể loại:Quảng trường tại Hà Nội,Thể loại:Quảng trường Việt Nam
384,Thể loại:Quảng trường tại Thành phố Hồ Chí Minh,Thể loại:Quảng trường Việt Nam
385,Thể loại:Thác nước Việt Nam,Thể loại:Điểm tham quan ở Việt Nam
389,Thể loại:Di tích khảo cổ Việt Nam,Thể loại:Di tích Việt Nam
390,Thể loại:Di tích kiến trúc nghệ thuật Việt Nam,Thể loại:Di tích Việt Nam
397,Thể loại:Di tích quốc gia Việt Nam,Thể loại:Di tích Việt Nam
408,Thể loại:Thương cảng cổ Việt Nam,Thể loại:Di tích Việt Nam
463,Thể loại:Kiến trúc Việt Nam thời Mạc,Thể_loại:Kiến_trúc_cổ_Việt_Nam
464,Thể loại:Thành nhà Mạc,Thể loại:Kiến trúc Việt Nam thời Mạc
465,Thể loại:Làng cổ Việt Nam,Thể_loại:Kiến_trúc_cổ_Việt_Nam
466,Thể loại:Làng cổ An Giang,Thể loại:Làng cổ Việt Nam
467,Thể loại:Làng cổ Bắc Giang,Thể loại:Làng cổ Việt Nam
468,Thể loại:Làng cổ Bắc Ninh,Thể loại:Làng cổ Việt Nam
469,Thể loại:Làng cổ Cần Thơ,Thể loại:Làng cổ Việt Nam
470,Thể loại:Làng cổ Đà Nẵng,Thể loại:Làng cổ Việt Nam
471,Thể loại:Làng cổ Đồng Nai,Thể loại:Làng cổ Việt Nam
472,Thể loại:Làng cổ Hà Nội,Thể loại:Làng cổ Việt Nam
473,Thể loại:Làng cổ Hà Tĩnh,Thể loại:Làng cổ Việt Nam
474,Thể loại:Làng cổ Hưng Yên,Thể loại:Làng cổ Việt Nam
475,Thể loại:Làng cổ Hà Nam,Thể loại:Làng cổ Việt Nam
476,Thể loại:Làng cổ Nam Định,Thể loại:Làng cổ Việt Nam
477,Thể loại:Làng cổ Ninh Bình,Thể loại:Làng cổ Việt Nam
478,Thể loại:Làng cổ Quảng Ninh,Thể loại:Làng cổ Việt Nam
479,Thể loại:Làng cổ Quảng Trị,Thể loại:Làng cổ Việt Nam
480,Thể loại:Làng cổ Thanh Hóa,Thể loại:Làng cổ Việt Nam
481,Thể loại:Lăng mộ Việt Nam,Thể_loại:Kiến_trúc_cổ_Việt_Nam
489,Thể loại:Thành cổ Việt Nam,Thể_loại:Kiến_trúc_cổ_Việt_Nam
490,Thể loại:Thành Chăm Pa,Thể loại:Thành cổ Việt Nam
491,Thể loại:Kinh đô Chăm Pa,Thể loại:Thành Chăm Pa
492,Thể loại:Indrapura,Thể loại:Kinh đô Chăm Pa
493,Thể loại:Lãnh tụ Indrapura,Thể loại:Indrapura
