,name,url,img,loc,Loại hình di tích,Loại hình xếp hạng,Xếp hạng,Niên đại tuyệt đối,Niên đại chủ đạo,Tọa độ,Đối tượng thờ,Dấu vết vật chất sớm nhất,Quyết định xếp hạng,Tên khác,Niên đại khởi dựng,Hồ sơ khảo sát đình chùa Đồng Kỵ 1987,Hồ sơ khảo sát đình Bảng,Bản vẽ thiết kế (CT,Bản vẽ,Bản vẽ hoàn công (phần việc,Bản vẽ thiết kế kỹ thuật thi công (Phần việc,Bản vẽ thiết kế kỹ thuật. HM,Bản vẽ thiết kế kỹ thuật thi công (Hạng mục,Bản vẽ thiết kế (Hạng mục,Bản vẽ hiện trạng (mặt bằng,Dự án thực nghiệm tu bổ tôn tạo đình Chu Quyến,Hồ sơ viết di tích đình Lỗ Hạnh,Hồ sơ bản vẽ di tích đình Nội,Hồ sơ viết di tích đình Nội,Hồ sơ bản vẽ di tích chùa Yên Viên,Hồ sơ viết di tích chùa Yên Viên,Hồ sơ ảnh di tích chùa Yên Viên,Hồ sơ viết di tích đình Phúc Long,Hồ sơ ảnh di tích đình Phúc Long,Báo cáo đầu tư tu bổ cấp thiết đình Trân Tảo. HM,HSTKBVTC dự án tôn tạo Đền Ngọc Sơn. HM,Hồ sơ ảnh đền Thiên Trường,Hồ sơ thiết kế tu bổ tôn tạo (Hm,Hồ sơ thiết kế kỹ thuật thi công (Hm,Hồ sơ khảo sát tháp Dương Long,Hồ sơ thiết kế tu bổ tháp Đôi,Hồ sơ bản vẽ điện Tây Sơn Tam Kiệt,Hồ sơ khảo sát đình Phù Lão (1982),Hồ sơ khảo sát đình Phù Lão
707,chùa Thượng Thanh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5464,http://ditich.vn\upload\images\ditich\Ch-T0236.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Thanh Cao",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường 2001,Giữa TK 20,,,"Thượng điện TK 19, Tiền đường TK 20",UBND tinh Hà Tây,(Diên Phúc Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
708,chùa Thanh Thần,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5463,http://ditich.vn\upload\images\ditich\Ch-T0026.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Thanh Cao",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường 1983,Giữa TK 20,,,Giữa TK 20,Bộ VHTT,(Phả La Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
709,chùa Ninh Dương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5462,http://ditich.vn\upload\images\ditich\Ch-N0108.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Thanh Cao",Chùa,,Chưa xếp hạng,Tiền đường 1993,Mới sửa lại,,,,,Quảng Hàn tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710,chùa Cao Mật Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5461,http://ditich.vn\upload\images\ditich\Ch-C0104.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Thanh Cao",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường 1927,Giữa TK 20,,,"Giữa TK 20, 1 bia 1687",,Long Ân Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
711,miếu Phúc Thụy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5460,http://ditich.vn\upload\images\ditich\Mi-P0003.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái 1926,Giữa TK 20,,Lữ gia,Giữa TK 20,QĐ số 351/VHQĐ ngày 15/2/1992 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
712,đình Tri Lễ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5459,http://ditich.vn\upload\images\ditich\Di-T0273.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình 1907,Đầu TK 20,,"Linh Lang Đại vương, Cao Công Đại vương",TK 17,QĐ số 635/QĐUB ngày 14/6/2004 của UBND tỉnh Hà Tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
713,đình Ước Lễ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5458,http://ditich.vn\upload\images\ditich\Di-U0002.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,"Đại đình 1919, Trung đình 1870, Hậu cung 1992","Đại đình TK 20, Trung Đình TK 19",,Lỗ gia,"Đại đình TK 17, Trung Đình TK 19",QĐ số 6/2004 của UBND tỉnh Hà Tây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,đình Phúc Thụy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5457,http://ditich.vn\upload\images\ditich\Di-P0040.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình 1919,Giữa TK 20,,Lữ gia,TK 17,QĐ số 351 ngày 15/2/1992 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
715,chùa Tây,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5456,http://ditich.vn\upload\images\ditich\Ch-T0235.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Chùa,,Chưa xếp hạng,Tiền đường 1926,Mới sửa lại,,,Giữa TK 20,,(Tây Thiên Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,chùa Sổ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=1901,http://ditich.vn\upload\images\ditich\Ch-S0004.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,"Tiền đường 1901, Tam quan 1975","Gác chuông TK 17, Tiền đường cuối TK 19-đầu TK 20","20°49'10""N 105°48'59""E",Phật giáo và Đạo giáo,"TK 17, 1 bia 1589, nhiều tượng TK 17…",QĐ số 29 ngày 13/1/1964 của Bộ VHTT,(Hội Linh Quán,Thời Lê,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
717,chùa Quế Sơn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5455,http://ditich.vn\upload\images\ditich\Ch-Q0038.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Chùa,,Chưa xếp hạng,Tiền đường 1919,Giữa TK 20,,,TK 17,,"Hồ Điệp Tự, chùa Đông",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
718,chùa Phúc Thụy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5454,http://ditich.vn\upload\images\ditich\Ch-P0155.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Chùa,,Chưa xếp hạng,,,,,,,(Thiên Thụy Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
719,chùa Mới,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5453,http://ditich.vn\upload\images\ditich\Ch-M0037.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tân Ước",Chùa,,Chưa xếp hạng,,Giữa TK 20,,,Giữa TK 20,,(Sùng Phúc Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
720,nhà thờ họ Lê Huy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5452,http://ditich.vn\upload\images\ditich\TD-L0010.1.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Nhà thờ,,Chưa xếp hạng,1926,Giữa TK 20,,,Giữa TK 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
721,nhà thờ họ Nguyễn Trực,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5451,http://ditich.vn\upload\images\ditich\TD-N0012.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Nhà thờ,,Chưa xếp hạng,1939,Giữa TK 20,,,Giữa TK 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
722,miếu Văn Khê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5450,http://ditich.vn\upload\images\ditich\Mi-V0017.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Miếu,,Chưa xếp hạng,"Đại bái 1912, Hậu cung 1910","Đại bái giữa TK 20, Hậu cung đầu TK 20",,,"Đại bái giữa TK 20, Hậu cung đầu TK 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
723,đình Văn Khê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5449,http://ditich.vn\upload\images\ditich\Di-V0094.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Đình,,Chưa xếp hạng,"Đại đình 1929, Ống muống 1935",Giữa TK 20,,"Trần Công Phụ, Trần Công Hoàng, Trần Công Tế, Nguyễn Thị Nguyên",Cuối TK 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
724,đình Song Khê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5448,http://ditich.vn\upload\images\ditich\Di-K0022.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình 1892,"Đại đình cuối TK 19-đầu TK20, phương đình giữa TK 20",,Lục vị Đại vương,"Đại đình cuối TK 19-đầu TK20, phương đình giữa TK 20",QĐ số 6/2000 ngày 25/4/2000 của Bộ VHTT,(đình Kim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
725,đình Lê Dương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5447,http://ditich.vn\upload\images\ditich\Di-L0022.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,"Tiền tế 1931, Đại Đình 1840",Giữa TK 20,,"Đô Hộ Đại vương, Chính Cung Thái Phi","Tiền tế giữa TK 20, Đại đình giữa TK 19",QĐ số 2015 ngày 16/12/2013 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
726,chùa Tê Quả,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5446,http://ditich.vn\upload\images\ditich\Ch-T0234.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường 1988,Cuối TK 20,,Ngô Long,"1 bia 1699, 1 bia 1670…",QĐ số 234 của UBND tỉnh Hà Tây 15/3/2000,(Sùng Quang Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
727,chùa Hưng Giác,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5445,http://ditich.vn\upload\images\ditich\Ch-H0108.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Chùa,,Chưa xếp hạng,,,,,"1 bia 1627, 1 bí 1694…",,(Hưng Phúc Bi Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
728,chùa Bối Khê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=1869,http://ditich.vn\upload\images\ditich\Ch-B0032.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Tam Hưng",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,"Gác chuông 1602, Tiền đường 1628","Thượng điện TK 17, Gác chuông TK 17, Tiền đường cuối TK 19-đầu TK20","20°52'52""N 105°47'11""E",Thánh Nguyễn Bình An,"Thượng điện thời Trần, Gác chuông TK 17, Tiền đường giữa TK 20, chân tảng TK 14, 1 bia 1453…",Bộ VHTT năm 1979,"Đại Bi Tự, chùa Hai Chuông",Thời Trần,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
729,nhà thờ Họ Lê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5444,http://ditich.vn\upload\images\ditich\TD-L0026.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Mỹ Hưng",Nhà thờ,,Chưa xếp hạng,,,,Thị Nội cung tần,"bài vị, ngai thờ TK 17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
730,miếu Thạch Nham,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5443,http://ditich.vn\upload\images\ditich\Mi-T0031.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Mỹ Hưng",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái 1889,Giữa TK 20,,Tướng Nguyễn Triệu,Cuối TK 19,QĐ số 39/2002 của Bộ VHTT,Miếu Thạch Ổi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
731,đình Thạch Nham,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5442,http://ditich.vn\upload\images\ditich\Di-T0025.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Mỹ Hưng",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,"Đại đình 1870, Hậu cung 1947","Đại đình cuối TK 19, Hậu cung giữa TK 20",,Tướng Nguyễn Triệu,"Đại đình cuối TK 19, Hậu cung giữa TK 20",QĐ số 39/2002 của Bộ VHTT,Đình Thạch Ổi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
732,đình Quảng Minh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5441,http://ditich.vn\upload\images\ditich\Di-Q0029.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Mỹ Hưng",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,"Đại đình 1930, Hậu cung 1909",Giữa TK 20,,Hoàng Hậu Trần Thị và phu nhân Nguyễn Thị,Giữa TK 20,QĐ số 318/QĐUB của UBND tỉnh Hà Tây 19/3/2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
733,đình Phượng Mỹ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5440,http://ditich.vn\upload\images\ditich\Di-P0053.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Mỹ Hưng",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình 1901,"Đại đình đầu TK 20, Phương đình giữa TK 20",,Phạm Quốc,"Đại đình đầu TK 20, Phương đình giữa TK 20",Bộ VHTT năm 1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
734,chùa Thạch Nham,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5439,http://ditich.vn\upload\images\ditich\Ch-T0233.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Mỹ Hưng",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường 1942,Giữa TK 20,,,Giữa TK 20,QĐ số 664/QĐUB của UBND tỉnh Hà Tây 30/6/1998,(Linh Bảo Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
735,chùa Quảng Minh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5438,http://ditich.vn\upload\images\ditich\Ch-Q0037.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Mỹ Hưng",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền đường 1993,Mới xây lại,,,,,(Linh Quang Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
736,chùa Phượng Mỹ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5437,http://ditich.vn\upload\images\ditich\Ch-P0111.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Mỹ Hưng",Chùa,,Chưa xếp hạng,,Giữa TK 19,,,TK 18,,(Sùng Hưng Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,đình Từ Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5436,http://ditich.vn\upload\images\ditich\Di-T0156.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Liên Châu",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình 1870,TK 19,,Lỗ Cầu Đại vương,TK 17,QĐ số 18 ngày 18/1/1988 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
738,đình Châu Mai,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5435,http://ditich.vn\upload\images\ditich\Di-C0023.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Liên Châu",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình 1906,Đầu TK 20,,Minh Lang,Cuối TK 17-đầu TK18,QĐ số 65 ngày 16/1/1965 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
739,chùa Từ Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5434,http://ditich.vn\upload\images\ditich\Ch-T0096.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Liên Châu",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường 1904,Đầu TK 20,,,"Đầu TK 20, 1 bệ và tượng PCNT TK 16, 1 chuông 1794…",QĐ số 28 ngày 25/1/1990 của Bộ VHTT,(Thắng Lâm Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
740,chùa Châu Mai,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5433,http://ditich.vn\upload\images\ditich\Ch-C0103.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Liên Châu",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường 1913,Giữa TK 20,,Phật giáo Đại thừa,Đầu TK 20,QĐ số 65 ngày 16/1/1965 của Bộ VHTT,(Linh Quang Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,UBND xã Kim Thư,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5432,http://ditich.vn\upload\images\ditich\NC-K0020.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Di tích lịch sử,,Chưa xếp hạng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
742,nhà thờ Họ Nguyễn Huy,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5431,http://ditich.vn\upload\images\ditich\TD-N0030.1.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Nhà thờ,,Chưa xếp hạng,Nhà chính 1933,Giữa TK 20,,,Giữa TK 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
743,nhà thờ Họ Vũ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5430,http://ditich.vn\upload\images\ditich\TD-V0012.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Nhà thờ,,Chưa xếp hạng,Nhà chính 1938,Giữa TK 20,,,Giữa TK 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
744,nhà thờ Họ Trịnh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5429,http://ditich.vn\upload\images\ditich\TD-T0022.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Nhà thờ,,Chưa xếp hạng,Nhà chính 1933,Giữa TK 20,,,Cuối TK 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
745,nhà thờ Họ Phạm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5428,http://ditich.vn\upload\images\ditich\TD-P0007.1.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Nhà thờ,,Chưa xếp hạng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
746,miếu Đôn Thư,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5427,http://ditich.vn\upload\images\ditich\Mi-D0017.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Miếu,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,Giữa TK 20,,,Đầu TK 20,QĐ số 1266 ngày 22/9/1992 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
747,đình Kim Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5426,http://ditich.vn\upload\images\ditich\Di-K0050.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,"Đại đình 1996, Hậu cung 1997",Giữa TK 20,,An Lô Đại vương,Giữa TK 20,QĐ số 1266 ngày 22/9/1992 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
748,đình Đôn Thư,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5425,http://ditich.vn\upload\images\ditich\Di-D0192.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,"Đại đình 1843, Ống muống 1934","Đại đình giữa TK 20, phương đình đầu TK 20, Ống muống giữa TK 20",,,"Đại đình giữa TK 19, phương đình đầu TK 20, Ống muống giữa TK 20",QĐ số 1266 ngày 22/9/1992 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
749,chùa Kim Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5424,http://ditich.vn\upload\images\ditich\Ch-K0060.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Chùa,,Chưa xếp hạng,,,,,"1 bia 1731, 1 chuông 1838…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
750,chùa Đôn Thư,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5423,http://ditich.vn\upload\images\ditich\Ch-D0162.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim Thư",Chùa,,Chưa xếp hạng,"Tiền đường 1941, Thượng điện 1912",Giữa TK 20,,,Thượng điện đầu TK 20,,(Thắng Quang Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
751,đình Tràng Cát,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5422,http://ditich.vn\upload\images\ditich\Di-T0120.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim An",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái 1901,TK 19,,"Trình Mục, Trình Nhã","TK 18, sắc phong sớm nhất 1746",QĐ số 177 ngày 5/3/1990 của Bộ VHTT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,đình Hoạch An,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5421,http://ditich.vn\upload\images\ditich\Di-H0156.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim An",Đình,,Chưa xếp hạng,Hậu cung 1944,Giữa TK 20,,"Dương Minh Đại vương, Bố Cái Đại vương",Giữa TK 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
753,chùa Tràng Cát,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5420,http://ditich.vn\upload\images\ditich\Ch-T0072.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Kim An",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường 1925,TK 19,,,"TK 18, 3 tượng TK 17, 1 bia 1668…",QĐ số 177 ngày 5/3/1990 của Bộ VHTT,(Hưng Khánh Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
754,đình Phương Nhị Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5419,http://ditich.vn\upload\images\ditich\Di-P0115.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Đình,,Chưa xếp hạng,Tiền tế 1920,"Tiền tế giữa TK 20, Hậu cung nửa đầu TK 20",,Cao Sơn Đại vương,"Tiền tế giữa TK 20, Hậu cung nửa đầu TK 20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
755,đình Ngô Đồng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5418,http://ditich.vn\upload\images\ditich\Di-N0114.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Đình,,Chưa xếp hạng,Đại đình 1922. hậu cung 1832 (cột hiên,Hậu cung Giữa TK 20,,,Hậu cung Giữa TK 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,đình Ngọc Đình,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5417,http://ditich.vn\upload\images\ditich\Di-N0113.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Đình,,Chưa xếp hạng,"Đại đình 1840 (câu đầu gian giữa, 1936 (câu đầu phải. Hậu cung 1936 (thượng lương",Đại đình giữa TK 20,,Đức Thánh Nhi Đô Văn Lang,Đại đình giữa TK 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
757,đình Mạch Kỳ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5416,http://ditich.vn\upload\images\ditich\Di-M0053.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Đình,,Chưa xếp hạng,Đại đình 1924,Giữa TK 20,,Hai Bà Trưng,Giữa TK 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
758,đình Hoàng Trung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5415,http://ditich.vn\upload\images\ditich\Di-H0109.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Đình,,Chưa xếp hạng,Đại đình 1928,Giữa TK 20,,,Giữa TK 20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
759,đình Ba Dư,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5414,http://ditich.vn\upload\images\ditich\Di-B0106.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Đình,,Chưa xếp hạng,,Đại đình TK 17,,Cao Sơn Đại vương,Đại đình TK 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
760,chùa Tảo Dương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5413,http://ditich.vn\upload\images\ditich\Ch-T0232.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Chùa,,Chưa xếp hạng,Tiền đường 1836 (câu đầu trái. Thiêu hương 1996,"Thiêu hương mới sửa lại, Tiền đường đầu TK 20, Tam quan giữa TK 20",,,Chân tảng Tam quan TK 17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
761,chùa Phương Nhị,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5412,http://ditich.vn\upload\images\ditich\Ch-P0110.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Chùa,,Chưa xếp hạng,,Giữa TK 20,,,Giữa TK 20,,(Hương Lam Tự,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
762,chùa Ngọc Đình,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5411,http://ditich.vn\upload\images\ditich\Ch-N0107.jpg,"Tp.Hà Nội, huyện Thanh Oai, xã Hồng Dương",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường 1838,Mới sửa lại,,,Thiêu hương giữa TK 19,Bộ VHTT năm 1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
