name,url,img,loc,Loại hình di tích,Loại hình xếp hạng,Xếp hạng,Niên đại tuyệt đối,Niên đại chủ đạo,Tọa độ,Đối tượng thờ,Dấu vết vật chất sớm nhất,Quyết định xếp hạng,Tên khác,Niên đại khởi dựng
Đình Ngoại,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6036,http://ditich.vn\upload\images\ditich\Di-N0015.jpg,"Hưng Yên, Yên Mỹ, Lý Thường Kiệt",Đình,,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°51'25.9""N 106°02'29.8""E","Đông Hải Đại Vương, Đoàn Thượng, Cao Sơn",Đầu TK 20,2006,,
Đình Tráng Vũ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6035,http://ditich.vn\upload\images\ditich\Di-T0330.jpg,"Hưng Yên, Yên Mỹ, Đồng Than",Đình,,,,Đại đình,"20°54'52.0""N 106°00'21.6""E","Chử Đồng Tử, Quan Thánh đế quân, Văn Vương đế quân",Cuối TK 17,,,
Đình Phạm Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6034,http://ditich.vn\upload\images\ditich\Di-P0138.jpg,"Hưng Yên, Yên Mỹ, Đồng Than",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°54'52.0""N 106°00'21.6""E",Trần Công Giản (tướng đời Trần),Cuối TK 18,1993,,
Đình Đồng Than,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6033,http://ditich.vn\upload\images\ditich\Di-D0245.jpg,"Hưng Yên, Yên Mỹ, Đồng Than",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,Đại đình,"20°54'52.0""N 106°00'21.6""E",Thành hoàng Đống Bích và Đống Xá,,2006,,
đình Hiển Lễ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6032,http://ditich.vn/upload/files/Di-H0129.jpg,"Xã Cao Minh, Thị xã Phúc Yên, Tỉnh Vĩnh Phúc",Đình,,Di tích cấp Tỉnh,,,,"(đức thánh tổ Hà Tân), vợ ông (La Lang Lương thị) cùng với con trai ông (Đức thánh Trường Sinh)",,năm 2003,,
Nhà thờ họ Đào,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6031,http://ditich.vn\upload\images\ditich\TD-D0043.jpg,"Hưng Yên, Tiên Lữ, Thiện Phiến",Nhà cổ,,,Tiền đường,Nhà thờ,"20°39'21.4""N 106°06'38.9""E",Tổ tiên,Dấu vết trên kiến trúc,,,
Nhà thờ họ Lê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6030,http://ditich.vn\upload\images\ditich\TD-L0034.jpg,"Hưng Yên, Tiên Lữ, Phương Chiểu",Nhà cổ,,,02 Bia đá,"Tiền đường,– Nửa đầu thế kỷ 20 ; Hậu đường – Nửa đầu thế kỷ 20","20°38'27.7""N 106°05'12.0""E",Tổ tiên,Dấu vết trên kiến trúc,,,
Nhà bà Đào Thị Nhật,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6029,http://ditich.vn\upload\images\ditich\NC-D0090.jpg,"Hưng Yên, Tiên Lữ, Dị Chế",Nhà cổ,,,,Nhà chính,"20°41'37.3""N 106°07'39.0""E",Tổ tiên,Dấu vết trên kiến trúc,,,
Đền Tam giáo,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6027,http://ditich.vn\upload\images\ditich\De-T0163.jpg,"Hưng Yên, Tiên Lữ, Thụy Lôi",Đền,Di tích kiến trúc nghệ thuật,,,,"20°39'47.7""N 106°09'15.8""E",Đền thờ của xóm,,,,
Đền Xuôi,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6026,http://ditich.vn\upload\images\ditich\De-X0017.jpg,"Hưng Yên, Tiên Lữ, Thụy Lôi",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Tiền tế,Tiền tế + Hậu cung,"20°39'47.7""N 106°09'15.8""E","Vũ Tam Lang, Tể tướng sử Công, Ngọ Công (Thời Lê)",Dấu vết trên di vật,năm 2007,,
Miếu Mương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6025,http://ditich.vn\upload\images\ditich\Mi-M0017.jpg,"Hưng Yên, Tiên Lữ, Thiện Phiến",Miếu,Di tích kiến trúc nghệ thuật,,Đại bái,Đại bái,"20°39'21.4""N 106°06'38.9""E",Đức thánh Lý Công Vực,Dấu vết trên kiến trúc,,,
Đền Vương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6024,http://ditich.vn\upload\images\ditich\De-V0038.jpg,"Hưng Yên, Tiên Lữ, thị trấn Vương",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,,"20°42'17.6""N 106°07'24.8""E",Ngô Quyền,,năm 2005,,
Đền Tiên Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6023,http://ditich.vn\upload\images\ditich\De-T0162.jpg,"Hưng Yên, Tiên Lữ, thị trấn Vương",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,,Đại bái + Hâụ cung – Thế kỷ 19,"20°42'17.6""N 106°07'24.8""E",Tướng có công đánh giặc ngoại xâm,Dấu vết trên kiến trúc,năm 2005,,
Đền thờ Doãn Nỗ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6022,http://ditich.vn\upload\images\ditich\De-D0109.jpg,"Hưng Yên, Tiên Lữ, Phương Chiêu",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,"20°38'27.7""N 106°05'12.0""E",Thượng tướng quân ( Doãn Nỗ - Tướng của Lê Lợi ),Dấu vết trên kiến trúc,năm 1995,,
Đền Phủ Vị,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6021,http://ditich.vn\upload\images\ditich\De-P0007.jpg,"Hưng Yên, Tiên Lữ, Phương Chiêu",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền bái,Tiền bái,"20°38'27.7""N 106°05'12.0""E","Nguyễn Thị Ngọc Toản,(Hoàng diệu TháI chiêu Nghi Thánh Mộu)",Dấu vết trên kiến trúc,năm 1995,,
Đền Phù Sa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6019,http://ditich.vn\upload\images\ditich\De-P0032.jpg,"Hưng Yên, Tiên Lữ, Hoàng Hanh",Đền,Di tích kiến trúc nghệ thuật,,Đại bái,Đại bái,"20°37'18.2""N 106°05'06.6""E","Đô Lê Hữu Đàng – nguyên soáI tổng thông, lữong quốc tiết chế …",Dấu vết trên di vật,,,
Đền Triều Dương,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6018,http://ditich.vn\upload\images\ditich\De-T0057.jpg,"Hưng Yên, Tiên Lữ, Hải Triều",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái – Thế kỷ 19; Hậu cung,"20°40'01.6""N 106°07'44.0""E",Thánh Chiêu công,Dấu vết trên di vật,năm 1999,,
Đền Cao Sơn,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6017,http://ditich.vn\upload\images\ditich\De-C0053.jpg,"Hưng Yên, Tiên Lữ, Hải Triều",Đền,Di tích kiến trúc nghệ thuật,,,,"20°40'01.6""N 106°07'44.0""E",,Dấu vết trên di vật,,,
Phủ Điềm,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6016,http://ditich.vn\upload\images\ditich\Ph-D0005.jpg,"Hưng Yên, Tiên Lữ, Minh Phương",Phủ,Di tích kiến trúc nghệ thuật,,Phủ mẫu,Phủ mẫu,"20°40'12.1""N 106°11'15.7""E","Thờ 7 anh em họ Tạ, Thanh Khiết, Phong Công, Hùng Binh, Bảo Quốc, Hộ Quốc tôn thần",Dấu vết trên di vật,,,
Đền Đức Thánh cả,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6015,http://ditich.vn\upload\images\ditich\De-D0108.jpg,"Hưng Yên, Tiên Lữ, Minh Phương",Đền,Di tích kiến trúc nghệ thuật,,Tiền đường,Tiền đường,"20°40'12.1""N 106°11'15.7""E","Huyền thông tam giới chi thần, Đạt cương quả đại vương, Linh hà khoá lãng chi thần",Dấu vết trên kiến trúc,,,
Đền Nghĩa Chế,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6014,http://ditich.vn\upload\images\ditich\De-N0071.jpg,"Hưng Yên, Tiên Lữ, Dị Chế",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,"20°41'41.1""N 106°07'38.1""E","Tiền Sở Vương, Hậu Ngô Vương, Thiên Sách Vương",Dấu vết trên di vật,năm 1994,,
Chùa Trà (Chùa Giải),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6012,http://ditich.vn\upload\images\ditich\Ch-T0303.jpg,"Hưng Yên, Tiên Lữ, Tân Hưng",Chùa,Di tích kiến trúc nghệ thuật,,,Tiền đường,"20°37'41.1""N 106°06'14.0""E",Phật,+03 Tượng,,,
"Chùa Đại Lai (Phỏ Quang, Chùa Lại)",http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6011,http://ditich.vn\upload\images\ditich\Ch-D0218.jpg,"Hưng Yên, Tiên Lữ, Ngô Quyền",Chùa,Di tích kiến trúc nghệ thuật,,Tiền đường,Tiền đường,"20°42'34.7""N 106°06'49.2""E",Phật,Dấu vết trên kiến trúc,,,
Chùa Nội Linh ( Hưng Phúc),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6010,http://ditich.vn\upload\images\ditich\Ch-N0142.jpg,"Hưng Yên, Tiên Lữ, Ngô Quyền",Chùa,Di tích kiến trúc nghệ thuật,,,Tiền đường,"20°42'34.7""N 106°06'49.2""E",Phật,Dấu vết trên kiến trúc,,,
Chùa Trịnh Mỹ (Lý Nhân),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6009,http://ditich.vn\upload\images\ditich\Ch-T0302.jpg,"Hưng Yên, Tiên Lữ, Ngô Quyền",Chùa,Di tích kiến trúc nghệ thuật,,Tổ đường,Tiền đường,"20°42'34.7""N 106°06'49.2""E",Phật,Dấu vết trên di vật,,,
Chùa Phượng Tường (chùa Vanh),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6008,http://ditich.vn\upload\images\ditich\Ch-P0132.jpg,"Hưng Yên, Tiên Lữ, Nhật Tân",Chùa,Di tích kiến trúc nghệ thuật,,Tiền đường,Tiền đường,"20°41'45.4""N 106°05'25.9""E",Phật,Dấu vết trên di vật,,,
Chùa Linh Hạ (Bảo Quang),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6007,http://ditich.vn\upload\images\ditich\Ch-L0109.jpg,"Hưng Yên, Tiên Lữ, Nhật Tân",Chùa,Di tích kiến trúc nghệ thuật,,Tiền đường,Tiền đường,"20°41'45.4""N 106°05'25.9""E",Phật,Dấu vết trên di vật,,,
"Chùa An Trạch (Linh Quang, Diên Phúc, Bụt Mọc)",http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6006,http://ditich.vn\upload\images\ditich\Ch-A0038.jpg,"Hưng Yên, Tiên Lữ, Nhật Tân",Chùa,Di tích kiến trúc nghệ thuật,,Tiền đường,Tiền đường+ Nhà tổ,"20°41'45.4""N 106°05'25.9""E",Phật,Dấu vết trên di vật,,,
Chùa Đậu Dung,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6005,http://ditich.vn\upload\images\ditich\Ch-D0217.jpg,"Hưng Yên, Tiên Lữ, Hưng Đạo",Chùa,Di tích kiến trúc nghệ thuật,,,,"20°43'15.4""N 106°05'53.3""E",Phật,,,,
Chùa Hoa,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6004,http://ditich.vn\upload\images\ditich\Ch-H0129.jpg,"Hưng Yên, Tiên Lữ, Hoàng Hanh",Chùa,Di tích kiến trúc nghệ thuật,,Tiền đường; ất Dậu niên – TL,,"20°37'18.2""N 106°05'06.6""E",Phật,+01 Hoành phi – Bảo Đại 5 (1930),,,
Chùa Bảo Khánh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6003,http://ditich.vn\upload\images\ditich\Ch-B0105.jpg,"Hưng Yên, Tiên Lữ, Hoàng Hanh",Chùa,Di tích kiến trúc nghệ thuật,,Hành làng,Hành lang,"20°37'18.2""N 106°05'06.6""E",Phật,Dấu vết trên di vật,,,
Chùa Triều Dương (Hưng Phúc),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6002,http://ditich.vn\upload\images\ditich\Ch-T0083.jpg,"Hưng Yên, Tiên Lữ, Hải Triều",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,,Tiền đường,"20°40'01.6""N 106°07'44.0""E",Phật,Dấu vết trên di vật,năm 2007,,
Chùa Hải Yến (Hồng Ân ),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6001,http://ditich.vn\upload\images\ditich\Ch-H0009.jpg,"Hưng Yên, Tiên Lữ, Hải Triều",Chùa,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền đường,Tiền đường,"20°40'01.6""N 106°07'44.0""E",Phật,Dấu vết trên di vật,,,
Chùa Diềm Xá (Sùng Quang),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=6000,http://ditich.vn\upload\images\ditich\Ch-D0216.jpg,"Hưng Yên, Tiên Lữ, Minh Phương",Chùa,Di tích kiến trúc nghệ thuật,,Tiền đường,Tiền đường,"20°40'12.1""N 106°11'15.7""E",Phật,Dấu vết trên di vật,,,
Chùa Nghĩa Chế,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5998,http://ditich.vn\upload\images\ditich\Ch-N0141.jpg,"Hưng Yên, Tiên Lữ, Dị Chế",Chùa,Di tích kiến trúc nghệ thuật,,Tiền đường,Tiền đường,"20°41'41.1""N 106°07'38.1""E",Phật,Dấu vết trên kiến trúc,,,
Đình thôn Nội Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5997,http://ditich.vn\upload\images\ditich\Di-N0149.jpg,"Hưng Yên, Tiên Lữ, An Viên",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°40'47.7""N 106°06'22.9""E",2 vị thành hoàng,Dấu vết trên kiến trúc,năm 1993,,
Đình Nội Lễ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5996,http://ditich.vn\upload\images\ditich\Di-N0072.jpg,"Hưng Yên, Tiên Lữ, An Viên",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°40'47.7""N 106°06'22.9""E","Bảo Đại Đô Thiên chi thần, Bảo đại Thanh Cao Hoằng Viễn chi thần",Dấu vết trên kiến trúc,năm 1998,,
Đình làng Nội Mai,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5995,http://ditich.vn\upload\images\ditich\Di-N0073.jpg,"Hưng Yên, Tiên Lữ, An Viên",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình; Nửa đầu thế kỷ 20. Hậu cung,"20°40'47.7""N 106°06'22.9""E",Nhị vị đại vương,Dấu vết trên kiến trúc,năm 1996,,
Đình ba xã,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5994,http://ditich.vn\upload\images\ditich\Di-B0097.jpg,"Hưng Yên, Tiên Lữ, Thủ Sĩ",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,Đại đình,"20°39'25.7""N 106°05'44.5""E","Linh Lang đông hải thành hoàng làng, Trinh tiết tôn thần, phò mã Thái bảo",Dấu vết trên kiến trúc,năm 2007,,
Đình Tất Viên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5993,http://ditich.vn\upload\images\ditich\Di-T0329.jpg,"Hưng Yên, Tiên Lữ, Thủ Sĩ",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Đại đình,Đại đình,"20°39'25.7""N 106°05'44.5""E","Hoàng bà Nguyễn Thị Huệ, nhị vị thánh ông ( Quảng Phú và Quảng Đức)",Dấu vết trên kiến trúc,UBND Tỉnh - 2007,,
Đình Cổ Lão (Đình Cả),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5992,http://ditich.vn\upload\images\ditich\Di-C0124.jpg,"Hưng Yên, Tiên Lữ, Tân Hưng",Đình,Di tích kiến trúc nghệ thuật,,ống muống,Đại đình,"20°37'41.1""N 106°06'14.0""E","Lý vực đại vương, ( có công đánh giặc Thục)",Dấu vết trên kiến trúc,,,
Đình Đông (đình Trịnh Xá),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5991,http://ditich.vn\upload\images\ditich\Di-D0244.jpg,"Hưng Yên, Tiên Lữ, Ngô Quyền",Đình,Di tích kiến trúc nghệ thuật,,Đại đình,"Đại dình, Trung cung, Hậu cung – Nửa đầu thế kỷ 20","20°42'34.7""N 106°06'49.2""E","Thành hoàng làng; Đống Vỹ, Đống Lương",Dấu vết trên kiến trúc,,,
Đình làng Nội Linh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5990,http://ditich.vn\upload\images\ditich\Di-N0148.jpg,"Hưng Yên, Tiên Lữ, Ngô Quyền",Đình,Di tích kiến trúc nghệ thuật,,Đại đình,Đại đình,"20°42'34.7""N 106°06'49.2""E",4 vị thành hoàng làng,Dấu vết trên di vật,,,
Đình Linh Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5989,http://ditich.vn\upload\images\ditich\Di-L0104.jpg,"Hưng Yên, Tiên Lữ, Nhật Tân",Đình,Di tích kiến trúc nghệ thuật,,,,"20°41'45.4""N 106°05'25.9""E",,,,,
Đình Thiên Đông,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5988,http://ditich.vn\upload\images\ditich\Di-T0328.jpg,"Hưng Yên, Tiên Lữ, Hưng Đạo",Đình,Di tích kiến trúc nghệ thuật,,Đại đình,Đại đình,"20°43'15.4""N 106°05'53.3""E","Đông HảI đại vương, Đoàn Thượng, Nguyễn Phục",Dấu vết trên kiến trúc,,,
Đình Thượng,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5986,http://ditich.vn\upload\images\ditich\Di-T0326.jpg,"Hưng Yên, Tiên Lữ, Hoàng Hanh",Đình,Di tích kiến trúc nghệ thuật,,Đại đình,Đại đình,"20°37'18.2""N 106°05'06.6""E",Quang Trung Nguyễn Huệ,Dấu vết trên kiến trúc,,,
Đình Hải Yến (Đình Hới),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5985,http://ditich.vn\upload\images\ditich\Di-H0016.jpg,"Hưng Yên, Tiên Lữ, Hải Triều",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°40'01.6""N 106°07'44.0""E",Thành hoàng làng Nguyễn Thái Bảo (Chiêu Công),Dấu vết trên kiến trúc,năm 1994,,
Đình Mai Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5984,http://ditich.vn\upload\images\ditich\Di-M0072.jpg,"Hưng Yên, Tiên Lữ, Minh Phương",Đình,Di tích kiến trúc nghệ thuật,,Đại đình,Đại đình,"20°40'12.1""N 106°11'15.7""E",Thành hoàng Sùng Lâm,Dấu vết trên kiến trúc,,,
Đình An Tào,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5983,http://ditich.vn\upload\images\ditich\Di-A0011.jpg,"Hưng Yên, Tiên Lữ, Cương Chính",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°40'23.5""N 106°10'45.9""E",3 vị thành hoàng làng,Dấu vết trên di vật,năm 1995,,
Đình Đặng Xá,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5982,http://ditich.vn\upload\images\ditich\Di-D0243.jpg,"Hưng Yên, Tiên Lữ, Cương Chính",Đình,Di tích kiến trúc nghệ thuật,,Đại đình,Đại đình,"20°40'23.5""N 106°10'45.9""E","Bản thổ tôn thần, Quan Nghè",Dấu vết trên di vật,,,
Đình Bảo Khê,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5981,http://ditich.vn\upload\images\ditich\Di-B0096.jpg,"Hưng Yên, Tiên Lữ, Cương Chính",Đình,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Tiền tế,Tiền tế,"20°40'23.5""N 106°10'45.9""E",Lộng Tần Hồng Loan công chúa (tướng Hai bà Trưng),Dấu vết trên kiến trúc,năm 1995,,
Nhà thờ Nguyễn Bá Khanh,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5979,http://ditich.vn\upload\images\ditich\TD-N0095.jpg,"Hưng Yên, Khoái Châu, An Vỹ",Nhà thờ,,,Nhà chính,Thế kỷ 19,"20°50'26.5""N 105°58'08.4""E",,Dấu vết trên kiến trúc,,,
Đền Mạn Xuyên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5978,http://ditich.vn\upload\images\ditich\De-M0033.jpg,"Hưng Yên, Khoái Châu, Tứ Dân",Đền,Di tích kiến trúc nghệ thuật,,Mới xây dựng lại năm 2007,,"20°50'06.1""N 105°55'46.3""E","Thành hoàng làng Nguyễn Danh Minh, Thiên Anh phu nhân ?",Dấu vết trên di vật,,,
Đền Thông Quan hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5977,http://ditich.vn\upload\images\ditich\De-T0179.jpg,"Hưng Yên, Khoái Châu, TT Khoái Châu",Đền,Di tích kiến trúc nghệ thuật,,Hậu cung,,"20°49'53.0""N 105°58'48.9""E",Hoàng thái hậu Trần Triều Lê Thị Nương,Dấu vết trên di vật,,,
Đền Hương Quất,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5976,http://ditich.vn\upload\images\ditich\De-H0026.jpg,"Hưng Yên, Khoái Châu, Thành Công",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,"20°46'09.4""N 105°59'35.7""E",Thờ Ngũ vị đại vương,Dấu veetstreen di vật,,,
Văn chỉ làng Bình Dân,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5975,http://ditich.vn\upload\images\ditich\Vc-B0001.jpg,"Hưng Yên, Khoái Châu, Tân Dân",Văn Chỉ,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Hậu cung,Tiền tế,"20°51'48.9""N 105°58'59.1""E",,Dấu vết trên di vật,năm 1962,,
Đền Trại,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5974,http://ditich.vn\upload\images\ditich\De-T0178.jpg,"Hưng Yên, Khoái Châu, Thuần Hưng",Đền,Di tích kiến trúc nghệ thuật,,,,"20°46'46.9""N 105°59'27.3""E",Thành hoàng làng,,,,
Đền Nhuế Dương (Đền miếu Nội Dương),http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5973,http://ditich.vn\upload\images\ditich\De-N0074.jpg,"Hưng Yên, Khoái Châu, Nhuế Dương",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại đình,Đại đình,"20°45'40.8""N 105°59'14.2""E","Triệu Việt Vương, Linh Lang đại vương, Cao Phạm Đại",Dấu vết trên di vật,năm 1995,,
Văn chỉ Kênh Hạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5972,http://ditich.vn\upload\images\ditich\Vc-K0002.jpg,"Hưng Yên, Khoái Châu, Liên Khê",Văn Chỉ,Di tích kiến trúc nghệ thuật,,Hữu vu,"Đại bái, Hữu vu","20°48'30.6""N 105°57'22.0""E",,Dấu vết trên kiến trúc,,,
Lăng thu Mộ Đức,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5971,http://ditich.vn\upload\images\ditich\LM-M0004.jpg,"Hưng Yên, Khoái Châu, Đồng Tiến",Lăng,Di tích kiến trúc nghệ thuật,Di tích cấp Tỉnh,Không còn công trình kiến trúc nào,,"20°49'59.1""N 106°00'41.1""E",Đức Đỗ Anh Vũ,,,,
Đền Cao Thiên,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5970,http://ditich.vn\upload\images\ditich\De-C0057.jpg,"Hưng Yên, Khoái Châu, Đồng Tiến",Đền,Di tích kiến trúc nghệ thuật,,,Mới xây dựng,"20°49'59.1""N 106°00'41.1""E",Thổ công làng,,,,
Đền An Lạc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5969,http://ditich.vn\upload\images\ditich\De-A0018.jpg,"Hưng Yên, Khoái Châu, Đồng Tiến",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Đại bái,Đại bái,"20°49'59.1""N 106°00'41.1""E",Đỗ Anh Vũ,Dấu vết trên kiến trúc,năm 1991,,
Đền Trung Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5968,http://ditich.vn\upload\images\ditich\De-T0177.jpg,"Hưng Yên, Khoái Châu, Đông Kết",Đền,Di tích kiến trúc nghệ thuật,,Đại bái,Đại bái,"20°49'24.0""N 105°56'44.3""E",Tiên Dung công chúa,Dấu vết trên kiến trúc,,,
Đền Bắc Châu,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5967,http://ditich.vn\upload\images\ditich\De-B0044.jpg,"Hưng Yên, Khoái Châu, Đông Kết",Đền,Di tích kiến trúc nghệ thuật,,Đại bái,Đại bái+ Hậu cung – Đầu thế kỷ 20,"20°49'24.0""N 105°56'44.3""E",Chử Đồng Tử và Tiên Dung,Dấu vết trên kiến trúc,,,
Lăng Quan Tạ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5966,http://ditich.vn\upload\images\ditich\LM-Q0005.jpg,"Hưng Yên, Khoái Châu, Đại Tập",Lăng,Di tích kiến trúc nghệ thuật,,,Lăng – Cuối thế kỷ 18,"20°47'25.8""N 105°57'09.1""E",Tướng công Phạm Công Duệ (tổng Thái Giám - đời Cảnh Hưng,Dấu vết trên di vật,,,
Đền thờ quan Trấn Bắc,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5965,http://ditich.vn\upload\images\ditich\De-T0176.jpg,"Hưng Yên, Khoái Châu, Đại Tập",Đền,Di tích kiến trúc nghệ thuật,,,Hậu cung + Đại bái- Cuối thế kỷ 20,"20°47'25.8""N 105°57'09.1""E",Bản cảnh thành hoàng Trấn Bắc tôn thần,Thế kỷ 20,,,
Đền Hoá Dạ Trạch,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5964,http://ditich.vn\upload\images\ditich\De-H0013.jpg,"Hưng Yên, Khoái Châu, Dạ Trạch",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Hậu cung,Đại bái,"20°52'10.6""N 105°57'14.8""E","Chử Đồng Tử và 2 phu nhân, Cha mẹ Chử Đồng Tử, Triệu Việt Vương",Dấu vết trên kiến trúc,năm 1998,,
Đền Thiết Trụ,http://ditich.vn/FrontEnd/DiTich/Form?do=&ItemId=5963,http://ditich.vn\upload\images\ditich\De-T0175.jpg,"Hưng Yên, Khoái Châu, Bình Minh",Đền,Di tích kiến trúc nghệ thuật,Di tích cấp Quốc gia,Hậu cung,,"20°49'14.0""N 105°58'12.9""E",Khùng Tín hầu Nguyễn Văn Lang – Khai quốc công thời Lý,Dấu vết trên di vật,năm 1994,,
